,context,answer,T5,GPT-3
251,Connections between safety net panels shall be as strong as integral net components and shall be spaced not more than 6 inches (15 cm) apart.,6 inches (15 cm) ,How many inches apart should safety net panels be?,What is the maximum spacing between connections between safety net panels?
252,"1926.502(d)
""Personal fall arrest systems."" Personal fall arrest systems and their use shall comply with the provisions set forth below. Effective January 1, 1998, body belts are not acceptable as part of a personal fall arrest system. Note: The use of a body belt in a positioning device system is acceptable and is regulated under paragraph (e) of this section.

1926.502(d)(1)
Connectors shall be drop forged, pressed or formed steel, or made of equivalent materials.

1926.502(d)(2)
Connectors shall have a corrosion-resistant finish, and all surfaces and edges shall be smooth to prevent damage to interfacing parts of the system.

1926.502(d)(3)
Dee-rings and snaphooks shall have a minimum tensile strength of 5,000 pounds (22.2 kN).

1926.502(d)(4)
Dee-rings and snaphooks shall be proof-tested to a minimum tensile load of 3,600 pounds (16 kN) without cracking, breaking, or taking permanent deformation.

1926.502(d)(5)
Snaphooks shall be sized to be compatible with the member to which they are connected to prevent unintentional disengagement of the snaphook by depression of the snaphook keeper by the connected member, or shall be a locking type snaphook designed and used to prevent disengagement of the snaphook by the contact of the snaphook keeper by the connected member. Effective January 1, 1998, only locking type snaphooks shall be used.",not acceptable as part of a personal fall arrest system,What is the purpose of body belts?,What is the minimum tensile strength of dee-rings and snaphooks used in a personal fall arrest system?
253,"1926.502(d)
""Personal fall arrest systems."" Personal fall arrest systems and their use shall comply with the provisions set forth below. Effective January 1, 1998, body belts are not acceptable as part of a personal fall arrest system. Note: The use of a body belt in a positioning device system is acceptable and is regulated under paragraph (e) of this section.

1926.502(d)(1)
Connectors shall be drop forged, pressed or formed steel, or made of equivalent materials.

1926.502(d)(2)
Connectors shall have a corrosion-resistant finish, and all surfaces and edges shall be smooth to prevent damage to interfacing parts of the system.

1926.502(d)(3)
Dee-rings and snaphooks shall have a minimum tensile strength of 5,000 pounds (22.2 kN).

1926.502(d)(4)
Dee-rings and snaphooks shall be proof-tested to a minimum tensile load of 3,600 pounds (16 kN) without cracking, breaking, or taking permanent deformation.

1926.502(d)(5)
Snaphooks shall be sized to be compatible with the member to which they are connected to prevent unintentional disengagement of the snaphook by depression of the snaphook keeper by the connected member, or shall be a locking type snaphook designed and used to prevent disengagement of the snaphook by the contact of the snaphook keeper by the connected member. Effective January 1, 1998, only locking type snaphooks shall be used."," 5,000 pounds (22.2 kN)",What is the minimum tensile strength of a dee-ring and snaphook?,What is the minimum tensile strength required for dee-rings and snaphooks according to 1926.502(d)(3)?
254,"1926.502(d)
""Personal fall arrest systems."" Personal fall arrest systems and their use shall comply with the provisions set forth below. Effective January 1, 1998, body belts are not acceptable as part of a personal fall arrest system. Note: The use of a body belt in a positioning device system is acceptable and is regulated under paragraph (e) of this section.

1926.502(d)(1)
Connectors shall be drop forged, pressed or formed steel, or made of equivalent materials.

1926.502(d)(2)
Connectors shall have a corrosion-resistant finish, and all surfaces and edges shall be smooth to prevent damage to interfacing parts of the system.

1926.502(d)(3)
Dee-rings and snaphooks shall have a minimum tensile strength of 5,000 pounds (22.2 kN).

1926.502(d)(4)
Dee-rings and snaphooks shall be proof-tested to a minimum tensile load of 3,600 pounds (16 kN) without cracking, breaking, or taking permanent deformation.

1926.502(d)(5)
Snaphooks shall be sized to be compatible with the member to which they are connected to prevent unintentional disengagement of the snaphook by depression of the snaphook keeper by the connected member, or shall be a locking type snaphook designed and used to prevent disengagement of the snaphook by the contact of the snaphook keeper by the connected member. Effective January 1, 1998, only locking type snaphooks shall be used.","3,600 pounds (16 kN)",What is the minimum tensile load for a dee-ring and snaphook?,What is the minimum tensile load required for dee-rings and snaphooks under 1926.502(d)(4)?
255,"1926.502(d)
""Personal fall arrest systems."" Personal fall arrest systems and their use shall comply with the provisions set forth below. Effective January 1, 1998, body belts are not acceptable as part of a personal fall arrest system. Note: The use of a body belt in a positioning device system is acceptable and is regulated under paragraph (e) of this section.

1926.502(d)(1)
Connectors shall be drop forged, pressed or formed steel, or made of equivalent materials.

1926.502(d)(2)
Connectors shall have a corrosion-resistant finish, and all surfaces and edges shall be smooth to prevent damage to interfacing parts of the system.

1926.502(d)(3)
Dee-rings and snaphooks shall have a minimum tensile strength of 5,000 pounds (22.2 kN).

1926.502(d)(4)
Dee-rings and snaphooks shall be proof-tested to a minimum tensile load of 3,600 pounds (16 kN) without cracking, breaking, or taking permanent deformation.

1926.502(d)(5)
Snaphooks shall be sized to be compatible with the member to which they are connected to prevent unintentional disengagement of the snaphook by depression of the snaphook keeper by the connected member, or shall be a locking type snaphook designed and used to prevent disengagement of the snaphook by the contact of the snaphook keeper by the connected member. Effective January 1, 1998, only locking type snaphooks shall be used.",locking type snaphooks,What type of snaphooks are required to be used in personal fall arrest systems?,What is the minimum tensile strength of dee-rings and snaphooks specified in 1926.502(d)(3)?
256,"1926.502(d)(7)
On suspended scaffolds or similar work platforms with horizontal lifelines which may become vertical lifelines, the devices used to connect to a horizontal lifeline shall be capable of locking in both directions on the lifeline.

1926.502(d)(8)
Horizontal lifelines shall be designed, installed, and used, under the supervision of a qualified person, as part of a complete personal fall arrest system, which maintains a safety factor of at least two.

1926.502(d)(9)
Lanyards and vertical lifelines shall have a minimum breaking strength of 5,000 pounds (22.2 kN).","5,000 pounds (22.2 kN)",What is the minimum breaking strength of a vertical lifeline?,What is the minimum breaking strength of lanyards and vertical lifelines required under 1926.502(d)(9)?
257,"1926.502(d)(7)
On suspended scaffolds or similar work platforms with horizontal lifelines which may become vertical lifelines, the devices used to connect to a horizontal lifeline shall be capable of locking in both directions on the lifeline.

1926.502(d)(8)
Horizontal lifelines shall be designed, installed, and used, under the supervision of a qualified person, as part of a complete personal fall arrest system, which maintains a safety factor of at least two.

1926.502(d)(9)
Lanyards and vertical lifelines shall have a minimum breaking strength of 5,000 pounds (22.2 kN).",two,What is the minimum safety factor for a personal fall arrest system?,What is the minimum breaking strength of lanyards and vertical lifelines in accordance with 1926.502(d)(9)?
258,"Except as provided in paragraph (d)(10)(ii) of this section, when vertical lifelines are used, each employee shall be attached to a separate lifeline.",vertical lifelines ,What type of lifeline is used?,What type of lifelines must be used when attaching each employee to a separate lifeline?
259,"Except as provided in paragraph (d)(10)(ii) of this section, when vertical lifelines are used, each employee shall be attached to a separate lifeline.",a separate lifeline,What must each employee be attached to when vertical lifelines are used?,What must each employee be attached to when vertical lifelines are used?
260,"During the construction of elevator shafts, two employees may be attached to the same lifeline in the hoistway, provided both employees are working atop a false car that is equipped with guardrails; the strength of the lifeline is 10,000 pounds [5,000 pounds per employee attached] (44.4 kN); and all other criteria specified in this paragraph for lifelines have been met.",the same lifeline in the hoistway,What can two employees be attached to during the construction of elevator shafts?,What is the strength of the same lifeline in the hoistway?
261,"During the construction of elevator shafts, two employees may be attached to the same lifeline in the hoistway, provided both employees are working atop a false car that is equipped with guardrails; the strength of the lifeline is 10,000 pounds [5,000 pounds per employee attached] (44.4 kN); and all other criteria specified in this paragraph for lifelines have been met.","10,000 pounds [5,000 pounds per employee attached] (44.4 kN)",What is the strength of the lifeline?,"the question would be:

What is the strength of the lifeline when two employees are attached to the same lifeline in the hoistway during construction of elevator shafts?"
262,Lifelines shall be protected against being cut or abraded.,being cut or abraded,What are lifelines protected against?,What measures should be taken to protect lifelines from being cut or abraded?
263,"Self-retracting lifelines and lanyards which automatically limit free fall distance to 2 feet (0.61 m) or less shall be capable of sustaining a minimum tensile load of 3,000 pounds (13.3 kN) applied to the device with the lifeline or lanyard in the fully extended position.",2 feet (0.61 m),What is the minimum free fall distance for self-retracting lifelines and lanyards?,What is the minimum tensile load that self-retracting lifelines and lanyards must be capable of sustaining?
264,"Self-retracting lifelines and lanyards which automatically limit free fall distance to 2 feet (0.61 m) or less shall be capable of sustaining a minimum tensile load of 3,000 pounds (13.3 kN) applied to the device with the lifeline or lanyard in the fully extended position.","3,000 pounds (13.3 kN) ",What is the minimum tensile load of a self-retracting lifeline or lanyard?,What is the minimum tensile load that self-retracting lifelines and lanyards must be capable of sustaining?
265,"Self-retracting lifelines and lanyards which do not limit free fall distance to 2 feet (0.61 m) or less, ripstitch lanyards, and tearing and deforming lanyards shall be capable of sustaining a minimum tensile load of 5,000 pounds (22.2 kN) applied to the device with the lifeline or lanyard in the fully extended position.",2 feet (0.61 m),What is the minimum free fall distance for self-retracting lifelines and lanyards?,"What is the minimum tensile load that self-retracting lifelines and lanyards which do not limit free fall distance to 2 feet (0.61 m) or less, ripstitch lanyards, and tearing and deforming lanyards must be capable of sustaining?"
266,"Self-retracting lifelines and lanyards which do not limit free fall distance to 2 feet (0.61 m) or less, ripstitch lanyards, and tearing and deforming lanyards shall be capable of sustaining a minimum tensile load of 5,000 pounds (22.2 kN) applied to the device with the lifeline or lanyard in the fully extended position.","5,000 pounds (22.2 kN) ",What is the minimum tensile load of a self-retracting lifeline or lanyard?,"What is the minimum tensile load that self-retracting lifelines and lanyards which do not limit free fall distance to 2 feet (0.61 m) or less, ripstitch lanyards, and tearing and deforming lanyards must be capable of sustaining?"
267,"Ropes and straps (webbing) used in lanyards, lifelines, and strength components of body belts and body harnesses shall be made from synthetic fibers.",synthetic fibers,What are ropes and straps made from?,"What type of material is used to make ropes and straps used in lanyards, lifelines, and strength components of body belts and body harnesses?"
268,"Anchorages used for attachment of personal fall arrest equipment shall be independent of any anchorage being used to support or suspend platforms and capable of supporting at least 5,000 pounds (22.2 kN) per employee attached, or shall be designed, installed, and used as follows:","5,000 pounds (22.2 kN)",How much weight must an anchorage support per employee?,What is the minimum weight capacity for an anchorage used for attachment of personal fall arrest equipment?
269,"1926.502(d)(16)
Personal fall arrest systems, when stopping a fall, shall:

1926.502(d)(16)(i)
limit maximum arresting force on an employee to 900 pounds (4 kN) when used with a body belt;

1926.502(d)(16)(ii)
limit maximum arresting force on an employee to 1,800 pounds (8 kN) when used with a body harness;

1926.502(d)(16)(iii)
be rigged such that an employee can neither free fall more than 6 feet (1.8 m), nor contact any lower level;

1926.502(d)(16)(iv)
bring an employee to a complete stop and limit maximum deceleration distance an employee travels to 3.5 feet (1.07 m); and,

1926.502(d)(16)(v)
have sufficient strength to withstand twice the potential impact energy of an employee free falling a distance of 6 feet (1.8 m), or the free fall distance permitted by the system, whichever is less.",900 pounds (4 kN) ,What is the maximum arresting force on an employee when using a body belt?,What is the maximum arresting force on an employee when using a body belt with a personal fall arrest system?
270,"1926.502(d)(16)
Personal fall arrest systems, when stopping a fall, shall:

1926.502(d)(16)(i)
limit maximum arresting force on an employee to 900 pounds (4 kN) when used with a body belt;

1926.502(d)(16)(ii)
limit maximum arresting force on an employee to 1,800 pounds (8 kN) when used with a body harness;

1926.502(d)(16)(iii)
be rigged such that an employee can neither free fall more than 6 feet (1.8 m), nor contact any lower level;

1926.502(d)(16)(iv)
bring an employee to a complete stop and limit maximum deceleration distance an employee travels to 3.5 feet (1.07 m); and,

1926.502(d)(16)(v)
have sufficient strength to withstand twice the potential impact energy of an employee free falling a distance of 6 feet (1.8 m), or the free fall distance permitted by the system, whichever is less.","1,800 pounds (8 kN) ",What is the maximum arresting force on an employee when using a body harness?,What is the maximum arresting force on an employee when using a body harness in accordance with 1926.502(d)(16)?
271,"1926.502(d)(16)
Personal fall arrest systems, when stopping a fall, shall:

1926.502(d)(16)(i)
limit maximum arresting force on an employee to 900 pounds (4 kN) when used with a body belt;

1926.502(d)(16)(ii)
limit maximum arresting force on an employee to 1,800 pounds (8 kN) when used with a body harness;

1926.502(d)(16)(iii)
be rigged such that an employee can neither free fall more than 6 feet (1.8 m), nor contact any lower level;

1926.502(d)(16)(iv)
bring an employee to a complete stop and limit maximum deceleration distance an employee travels to 3.5 feet (1.07 m); and,

1926.502(d)(16)(v)
have sufficient strength to withstand twice the potential impact energy of an employee free falling a distance of 6 feet (1.8 m), or the free fall distance permitted by the system, whichever is less.",more than 6 feet (1.8 m),What is the maximum free fall distance an employee can not be allowed to do?,What is the maximum free fall distance permitted by a personal fall arrest system?
272,"1926.502(d)(16)
Personal fall arrest systems, when stopping a fall, shall:

1926.502(d)(16)(i)
limit maximum arresting force on an employee to 900 pounds (4 kN) when used with a body belt;

1926.502(d)(16)(ii)
limit maximum arresting force on an employee to 1,800 pounds (8 kN) when used with a body harness;

1926.502(d)(16)(iii)
be rigged such that an employee can neither free fall more than 6 feet (1.8 m), nor contact any lower level;

1926.502(d)(16)(iv)
bring an employee to a complete stop and limit maximum deceleration distance an employee travels to 3.5 feet (1.07 m); and,

1926.502(d)(16)(v)
have sufficient strength to withstand twice the potential impact energy of an employee free falling a distance of 6 feet (1.8 m), or the free fall distance permitted by the system, whichever is less.",3.5 feet (1.07 m),What is the maximum deceleration distance an employee travels?,What is the maximum deceleration distance an employee travels when using a personal fall arrest system?
273,"The attachment point of the body belt shall be located in the center of the wearer's back. The attachment point of the body harness shall be located in the center of the wearer's back near shoulder level, or above the wearer's head.",in the center of the wearer's back,Where is the attachment point of the body belt located?,Where should the attachment point of the body belt and body harness be located?
274,"Body belts, harnesses, and components shall be used only for employee protection (as part of a personal fall arrest system or positioning device system) and not to hoist materials.",hoist materials,What should not be used with body belts?,"What is the purpose of body belts, harnesses, and components?"
275,Personal fall arrest systems and components subjected to impact loading shall be immediately removed from service and shall not be used again for employee protection until inspected and determined by a competent person to be undamaged and suitable for reuse.,immediately removed,What should personal fall arrest systems and components subject to impact loading be?,What should be done with personal fall arrest systems and components that have been subjected to impact loading?
276,The employer shall provide for prompt rescue of employees in the event of a fall or shall assure that employees are able to rescue themselves.,employer ,Who must provide for prompt rescue of employees in the event of a fall?,What is the responsibility of the employer in providing for prompt rescue of employees in the event of a fall?
277,"Personal fall arrest systems shall be inspected prior to each use for wear, damage and other deterioration, and defective components shall be removed from service.",inspected,What should personal fall arrest systems be done before each use?,What should be done with Personal fall arrest systems prior to each use?
278,Body belts shall be at least one and five-eighths (1 5/8) inches (4.1 cm) wide.,one and five-eighths (1 5/8) inches (4.1 cm) ,What is the minimum width of a body belt?,What is the minimum width of a body belt?
279,"Personal fall arrest systems shall not be attached to guardrail systems, nor shall they be attached to hoists except as specified in other subparts of this Part.",Personal fall arrest systems,What shall not be attached to guardrail systems?,What is the purpose of Personal fall arrest systems?
280,Positioning devices shall be rigged such that an employee cannot free fall more than 2 feet (.6m).,rigged ,What must be done to ensure that an employee cannot fall more than 2 feet?,What is the maximum distance an employee can free fall while using the rigged positioning devices?
281,Positioning devices shall be rigged such that an employee cannot free fall more than 2 feet (.6m).,2 feet (.6m),What is the maximum distance an employee can fall?,What is the maximum free fall distance that an employee can experience when using positioning devices?
282,"Positioning devices shall be secured to an anchorage capable of supporting at least twice the potential impact load of an employee's fall or 3,000 pounds (13.3 kN), whichever is greater.","3,000 pounds (13.3 kN)",What is the maximum weight of the device?,What is the minimum anchorage load required for a positioning device?
283,"Positioning devices shall be secured to an anchorage capable of supporting at least twice the potential impact load of an employee's fall or 3,000 pounds (13.3 kN), whichever is greater.",twice ,How much more weight can a positioning device support?,What is the minimum anchorage load that must be capable of supporting a positioning device?
284,"Connectors shall be drop forged, pressed or formed steel, or made of equivalent materials.",steel,What type of material are connectors made of?,What material is used to make connectors?
285,"Connectors shall have a corrosion-resistant finish, and all surfaces and edges shall be smooth to prevent damage to interfacing parts of this system.",a corrosion-resistant finish,What must connectors have?,What type of finish is required for the connectors of this system?
286,"Connecting assemblies shall have a minimum tensile strength of 5,000 pounds (22.2 kN)","5,000 pounds (22.2 kN)",What is the minimum tensile strength of the connecting assemblies?,What is the minimum tensile strength for connecting assemblies?
287,"Dee-rings and snaphooks shall be proof-tested to a minimum tensile load of 3,600 pounds (16 kN) without cracking, breaking, or taking permanent deformation.","3,600 pounds (16 kN)",What is the minimum tensile load for snaphooks?,What is the minimum tensile load required for Dee-rings and snaphooks to pass proof-testing?
288,"1926.502(e)(8)
Unless the snaphook is a locking type and designed for the following connections, snaphooks shall not be engaged:

1926.502(e)(8)(i)
directly to webbing, rope or wire rope;

1926.502(e)(8)(ii)
to each other;

1926.502(e)(8)(iii)
to a dee-ring to which another snaphook or other connector is attached;

1926.502(e)(8)(iv)
to a horizontal lifeline; or

1926.502(e)(8)(v)
to any object which is incompatibly shaped or dimensioned in relation to the snaphook such that unintentional disengagement could occur by the connected object being able to depress the snaphook keeper and release itself.",engaged,What is not allowed to happen to snaphooks unless they are designed for the following connections?,What are the objects to which snaphooks should not be engaged according to 1926.502(e)(8)?
289,"1926.502(e)(8)
Unless the snaphook is a locking type and designed for the following connections, snaphooks shall not be engaged:

1926.502(e)(8)(i)
directly to webbing, rope or wire rope;

1926.502(e)(8)(ii)
to each other;

1926.502(e)(8)(iii)
to a dee-ring to which another snaphook or other connector is attached;

1926.502(e)(8)(iv)
to a horizontal lifeline; or

1926.502(e)(8)(v)
to any object which is incompatibly shaped or dimensioned in relation to the snaphook such that unintentional disengagement could occur by the connected object being able to depress the snaphook keeper and release itself.","directly to webbing, rope or wire rope",Where are snaphooks not engaged?,"What are the other types of connections that snaphooks should not be engaged to, according to 1926.502(e)(8)?"
290,"Positioning device systems shall be inspected prior to each use for wear, damage, and other deterioration, and defective components shall be removed from service.",inspected ,What should be done to the positioning device systems prior to each use?,What should be done to a positioning device system prior to each use?
291,"Body belts, harnesses, and components shall be used only for employee protection (as part of a personal fall arrest system or positioning device system) and not to hoist materials.",employee protection,What are body belts used for?,"What is the purpose of body belts, harnesses, and components?"
292,"Body belts, harnesses, and components shall be used only for employee protection (as part of a personal fall arrest system or positioning device system) and not to hoist materials.",hoist materials,What should not be used with body belts?,"What are body belts, harnesses, and components prohibited from being used for?"
293,The warning line shall be erected around all sides of the roof work area.,erected ,What should be done to the warning line around the roof work area?,What needs to be done around the roof work area?
294,"When mechanical equipment is not being used, the warning line shall be erected not less than 6 feet (1.8 m) from the roof edge.",6 feet (1.8 m),How far from the roof edge of a building should the warning line be?,What is the minimum distance that the warning line must be erected from the roof edge when mechanical equipment is not being used?
295,"When mechanical equipment is being used, the warning line shall be erected not less than 6 feet (1.8 m) from the roof edge which is parallel to the direction of mechanical equipment operation, and not less than 10 feet (3.1 m) from the roof edge which is perpendicular to the direction of mechanical equipment operation.",6 feet (1.8 m),How far from the roof edge should the warning line be?,"What is the minimum distance from the roof edge that the warning line must be erected when the mechanical equipment is being used, parallel to the direction of operation?"
296,"When mechanical equipment is being used, the warning line shall be erected not less than 6 feet (1.8 m) from the roof edge which is parallel to the direction of mechanical equipment operation, and not less than 10 feet (3.1 m) from the roof edge which is perpendicular to the direction of mechanical equipment operation.",10 feet (3.1 m) ,How far from the roof edge is the warning line required to be?,What is the minimum distance from the roof edge perpendicular to the direction of mechanical equipment operation?
297,"Points of access, materials handling areas, storage areas, and hoisting areas shall be connected to the work area by an access path formed by two warning lines.",two warning lines,"What is the path that connects points of access, materials handling areas, storage areas, and hoisting areas to the work area?","What forms the access path connecting the points of access, materials handling areas, storage areas, and hoisting areas to the work area?"
298,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over."," ropes, wires, or chains, and supporting stanchions erected ",What shall the warning lines consist of?,"What is the minimum tensile strength of the rope, wire, or chain that is used for the warning line?"
299,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",6-foot (1.8 m) ,How long should the warning line be flagged?,"What is the minimum tensile strength of the rope, wire, or chain used in warning lines?"
300,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",34 inches (.9 m) ,What is the minimum distance from the warning line?,"What is the minimum height that the rope, wire, or chain must be rigged and supported at to be compliant with 1926.502(f)(2)?"
301,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",39 inches (1.0 m),What is the maximum distance from the warning line?,"What is the maximum height of the rope, wire, or chain from the walking/working surface according to 1926.502(f)(2)?"
302,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",30 inches (.8 m),How far above the walking/working surface should the warning line be?,"What is the minimum tensile strength of the rope, wire, or chain specified in 1926.502(f)(2)(iv)?"
303,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",16 pounds (71 N),What is the minimum force required to resist a warning line?,"What is the minimum tensile strength of the rope, wire, or chain required by 1926.502(f)(2)(iv)?"
304,"1926.502(f)(2)
Warning lines shall consist of ropes, wires, or chains, and supporting stanchions erected as follows:

1926.502(f)(2)(i)
The rope, wire, or chain shall be flagged at not more than 6-foot (1.8 m) intervals with high-visibility material;

1926.502(f)(2)(ii)
The rope, wire, or chain shall be rigged and supported in such a way that its lowest point (including sag) is no less than 34 inches (.9 m) from the walking/working surface and its highest point is no more than 39 inches (1.0 m) from the walking/working surface;

1926.502(f)(2)(iii)
After being erected, with the rope, wire, or chain attached, stanchions shall be capable of resisting, without tipping over, a force of at least 16 pounds (71 N) applied horizontally against the stanchion, 30 inches (.8 m) above the walking/working surface, perpendicular to the warning line, and in the direction of the floor, roof, or platform edge;

1926.502(f)(2)(iv)
The rope, wire, or chain shall have a minimum tensile strength of 500 pounds (2.22 kN), and after being attached to the stanchions, shall be capable of supporting, without breaking, the loads applied to the stanchions as prescribed in paragraph (f)(2)(iii) of this section; and

1926.502(f)(2)(v)
The line shall be attached at each stanchion in such a way that pulling on one section of the line between stanchions will not result in slack being taken up in adjacent sections before the stanchion tips over.",500 pounds (2.22 kN),What is the minimum tensile strength of a warning line?,"What is the minimum tensile strength of the rope, wire, or chain required to be used for a warning line according to 1926.502(f)(2)?"
305,No employee shall be allowed in the area between a roof edge and a warning line unless the employee is performing roofing work in that area.,a roof edge and a warning line,What two areas should an employee not be allowed to work between?,What is the purpose of having a roof edge and a warning line?
306,"Mechanical equipment on roofs shall be used or stored only in areas where employees are protected by a warning line system, guardrail system, or personal fall arrest system.","a warning line system, guardrail system, or personal fall arrest system",What are the only protections for employees on roofs?,What type of safety system is required when using or storing mechanical equipment on roofs?
